Block_ID,HDFS_BW,HDFSTranmissionTime,Mapper_ID,Mapper_VM_MIPS,MapExecutionTime ,MapperBW,MapperTransmissionTime,Reducer_ID,Reducer_VM_MIPS,ReducerExecutionTime ,ReducerBW,ReducerTransmissionTime,Block_ID,Block_BW,BlockTransmissionTime,TransactionTime
HDFS_Block_213,11.81,80.63,mapper212,653282,767.88,6.55,11.64,reducer9,150000,120,150,6.33,reducer9_Block_1,3.7,270.02,1256.5
HDFS_Block_69,11.81,80.63,mapper68,653288,767.99,30,2.52,reducer0,341739,480,3.8,250.14,reducer0_Block_1,0,0,1581.28
HDFS_Block_69,11.81,80.63,mapper68,653288,767.99,30,2.52,reducer1,150000,120,50,18.99,reducer1_Block_1,50,20,1010.13
HDFS_Block_69,11.81,80.63,mapper68,653288,767.99,5.3,11.92,reducer2,382530,480,4.48,212.22,reducer2_Block_1,3.7,270.02,1822.78
HDFS_Block_69,11.81,80.63,mapper68,653288,767.99,5.3,11.92,reducer3,150000,120,5.88,161.57,reducer3_Block_1,3.7,270.02,1412.13
HDFS_Block_69,11.81,80.63,mapper68,653288,767.99,5.3,11.92,reducer4,457419,480,5.88,161.53,reducer4_Block_1,3.7,270.02,1772.09
HDFS_Block_69,11.81,80.63,mapper68,653288,767.99,5.3,11.92,reducer5,150000,120,6.98,136.24,reducer5_Block_1,3.7,270.02,1386.8
HDFS_Block_69,11.81,80.63,mapper68,653288,767.99,5.3,11.92,reducer6,563904,480,3.8,250.14,reducer6_Block_1,3.7,270.02,1860.7
HDFS_Block_69,11.81,80.63,mapper68,653288,767.99,5.3,11.92,reducer7,150000,120,150,6.33,reducer7_Block_1,3.7,270.02,1256.89
HDFS_Block_69,11.81,80.63,mapper68,653288,767.99,5.3,11.92,reducer8,430890,480,3.8,250.14,reducer8_Block_1,3.7,270.02,1860.7
HDFS_Block_69,11.81,80.63,mapper68,653288,767.99,5.3,11.92,reducer9,150000,120,150,6.33,reducer9_Block_1,3.7,270.02,1256.89
HDFS_Block_216,11.81,80.63,mapper215,654113,769.94,30,2.51,reducer0,341739,480,3.8,250.14,reducer0_Block_1,0,0,1583.22
HDFS_Block_216,11.81,80.63,mapper215,654113,769.94,30,2.51,reducer1,150000,120,50,18.99,reducer1_Block_1,50,20,1012.07
HDFS_Block_216,11.81,80.63,mapper215,654113,769.94,5.3,16.52,reducer2,382530,480,4.48,212.22,reducer2_Block_1,3.7,270.02,1829.33
HDFS_Block_216,11.81,80.63,mapper215,654113,769.94,5.3,16.52,reducer3,150000,120,5.88,161.57,reducer3_Block_1,3.7,270.02,1418.68
HDFS_Block_216,11.81,80.63,mapper215,654113,769.94,5.3,16.52,reducer4,457419,480,5.88,161.53,reducer4_Block_1,3.7,270.02,1778.64
HDFS_Block_216,11.81,80.63,mapper215,654113,769.94,5.3,16.52,reducer5,150000,120,6.98,136.24,reducer5_Block_1,3.7,270.02,1393.35
HDFS_Block_216,11.81,80.63,mapper215,654113,769.94,5.3,16.52,reducer6,563904,480,3.8,250.14,reducer6_Block_1,3.7,270.02,1867.25
HDFS_Block_216,11.81,80.63,mapper215,654113,769.94,5.3,16.52,reducer7,150000,120,150,6.33,reducer7_Block_1,3.7,270.02,1263.44
HDFS_Block_216,11.81,80.63,mapper215,654113,769.94,5.3,16.52,reducer8,430890,480,3.8,250.14,reducer8_Block_1,3.7,270.02,1867.25
HDFS_Block_216,11.81,80.63,mapper215,654113,769.94,5.3,16.52,reducer9,150000,120,150,6.33,reducer9_Block_1,3.7,270.02,1263.44
HDFS_Block_140,2.68,355.03,mapper139,654839,771.61,5.3,20.73,reducer0,341739,480,3.8,250.14,reducer0_Block_1,0,0,1877.51
HDFS_Block_140,2.68,355.03,mapper139,654839,771.61,5.3,20.73,reducer1,150000,120,50,18.99,reducer1_Block_1,50,20,1306.36
HDFS_Block_140,2.68,355.03,mapper139,654839,771.61,5.7,16.56,reducer2,382530,480,4.48,212.22,reducer2_Block_1,3.7,270.02,2105.44
HDFS_Block_140,2.68,355.03,mapper139,654839,771.61,5.7,16.56,reducer3,150000,120,5.88,161.57,reducer3_Block_1,3.7,270.02,1694.79
HDFS_Block_140,2.68,355.03,mapper139,654839,771.61,8.82,8.56,reducer4,457419,480,5.88,161.53,reducer4_Block_1,3.7,270.02,2046.75
HDFS_Block_140,2.68,355.03,mapper139,654839,771.61,8.82,8.56,reducer5,150000,120,6.98,136.24,reducer5_Block_1,3.7,270.02,1661.46
HDFS_Block_140,2.68,355.03,mapper139,654839,771.61,8.82,8.56,reducer6,563904,480,3.8,250.14,reducer6_Block_1,3.7,270.02,2135.36
HDFS_Block_140,2.68,355.03,mapper139,654839,771.61,8.82,8.56,reducer7,150000,120,150,6.33,reducer7_Block_1,3.7,270.02,1531.55
HDFS_Block_140,2.68,355.03,mapper139,654839,771.61,27.5,2.8,reducer8,430890,480,3.8,250.14,reducer8_Block_1,3.7,270.02,2129.6
HDFS_Block_140,2.68,355.03,mapper139,654839,771.61,27.5,2.8,reducer9,150000,120,150,6.33,reducer9_Block_1,3.7,270.02,1525.79
HDFS_Block_19,11.81,80.63,mapper18,655274,772.66,30,2.49,reducer0,341739,480,3.8,250.14,reducer0_Block_1,0,0,1585.92
HDFS_Block_19,11.81,80.63,mapper18,655274,772.66,30,2.49,reducer1,150000,120,50,18.99,reducer1_Block_1,50,20,1014.77
HDFS_Block_19,11.81,80.63,mapper18,655274,772.66,4.13,23.03,reducer2,382530,480,4.48,212.22,reducer2_Block_1,3.7,270.02,1838.56
HDFS_Block_19,11.81,80.63,mapper18,655274,772.66,4.13,23.03,reducer3,150000,120,5.88,161.57,reducer3_Block_1,3.7,270.02,1427.91
HDFS_Block_19,11.81,80.63,mapper18,655274,772.66,4.13,23.03,reducer4,457419,480,5.88,161.53,reducer4_Block_1,3.7,270.02,1787.87
HDFS_Block_19,11.81,80.63,mapper18,655274,772.66,4.13,23.03,reducer5,150000,120,6.98,136.24,reducer5_Block_1,3.7,270.02,1402.58
HDFS_Block_19,11.81,80.63,mapper18,655274,772.66,4.13,23.03,reducer6,563904,480,3.8,250.14,reducer6_Block_1,3.7,270.02,1876.48
HDFS_Block_19,11.81,80.63,mapper18,655274,772.66,4.13,23.03,reducer7,150000,120,150,6.33,reducer7_Block_1,3.7,270.02,1272.67
HDFS_Block_19,11.81,80.63,mapper18,655274,772.66,4.13,23.03,reducer8,430890,480,3.8,250.14,reducer8_Block_1,3.7,270.02,1876.48
HDFS_Block_19,11.81,80.63,mapper18,655274,772.66,4.13,23.03,reducer9,150000,120,150,6.33,reducer9_Block_1,3.7,270.02,1272.67
HDFS_Block_175,2.68,355.03,mapper174,656705,776.09,2.53,30.84,reducer0,341739,480,3.8,250.14,reducer0_Block_1,0,0,1892.1
